category,clean_comment,sentiment
"general","night look is mind blowing stay blessed","spam"
"general","she looks like doja cat but green","positive"
"general","nakakagulat f nakakagulat talaga sobrang haba talaga","positive"
"general","","positive"
"general","jai des frissons","positive"
"general","swatisinghofficial88 yes subah wash karne ko bola hai na video me suniye dhyaan se","positive"
"general","nice","spam"
"general","next appointment she gonna all kinds of pregnant black girl magic","positive"
"general","i like you viedios so matsh","spam"
"general","beyourbestofficial thats nice of you but mention kardiya karo paid promotion hai","spam"
"general","i just love her voice","spam"
"cosmetic","wish i could such beautiful makeup","spam"
"general","super","positive"
"general","","positive"
"general","","positive"
"general","slayyyyyy","positive"
"cosmetic","mere school me bhi no makeup allow nhi hai","positive"
"general","iu","positive"
"general","tai trop belle et tu la trop bien fais","positive"
"general","link to buy this pls","positive"
"general","didi maaf karna wo hoti hongiiii ladkiyan jinko tndh nhii lgti mera to bilkul ulta hai besk khin v jana ho","positive"
"general","beautiful","spam"
"general","bell ka notification all per click kar dena dear","positive"
"hair","i went to a predominantly black highschool and yes all my friends had and still have thick long beautiful hair yes they did take care of it too we would get perms together i remember how cool it would be because my bffs hair was to perm straight and mine was for the curls","spam"
"general","yes","positive"
"general","aw thank you so much","spam"
"general","bald or ginger 4 sure","positive"
"general","looking so pretty","spam"
"cosmetic","bhen itna makeup khrb krne k bad","positive"
"general","dont let people bully you you are beautiful perfect and healthy just the way you are stop all the heating guys","spam"
"general","wonderful","spam"
"cosmetic","tutorialmakeupmasakini 17 menit yang lalu","positive"
"general","ngakak kok kayak ngantuk","positive"
"general","so cute","spam"
"general","ini mah mirip orng indonesia","positive"
"general","du","positive"
"general","omg slayyyy","spam"
"general","night look","positive"
"hair","i have straight hair and i have these problems","negative"
"general","how","positive"
"general","ginger","positive"
"general","same odio a las haters de kendall v kendall diosa","positive"
"general","fool","negative"
"general","o negcio bonito mulher com cacho pqp","positive"
"general","nice","spam"
"general","the last lesson of my life","positive"
"general","cool","spam"
"general","jungkook","positive"
"general","jisoo please","positive"
"general","my india is best","spam"
"general","piece of coal","negative"
"general","bellas","positive"
"general","gay","negative"
"general","you just stop it you stop it right now you dont have to make every viewer fall in love with you stop being cute and witty i swear right now if i see that sweet ass in those jeans its all over for you and i well definitely for me lmao you have no idea who i even am lol","positive"
"general","omg i made the cmnts 1k broo i got the power","spam"
"general","eu","positive"
"cosmetic","only the first girl i see who makeup nicely love you di","spam"
"general","who needed a tutorial for this shes so cute tho","spam"
"general","gay as hell","negative"
"general","you are so beautiful","spam"
"general","i like juicy","spam"
"hair","rohitji can u please recommend good dandruff shampoo","positive"
"general","didi up ko makap nay karna pa achala laghtaha","positive"
"cosmetic","indian makeup is thousand time better from this","spam"
"general","zaydie","positive"
"general","i love the ginger but your natural is so beautiful too so you do you","spam"
"general","e artianos grande abrao","positive"
"general","im in love with thissss","spam"
"general","i wear mask just to be safe maybe not from covid but from pollution and other illness like cough thats an immature way of thinking that people just wear mask because they have low self esteem and consider themselves as ugly","negative"
"general","looks beautiful","spam"
"general","man","positive"
"cosmetic","your beautiful with an d without makeup and even for everyone else true best is what is inside","spam"
"general","i love them all also i love that song","spam"
"general","isha kuntal kya boli aap i cant understand","negative"
"general","part 2 pa kuya jam please","positive"
"general","","positive"
"general","","positive"
"general","you look beautiful","spam"
"hair","do you prefer straight hair or bouncy curls","positive"
"general","very nice","spam"
"general","2 mkemeelll trkler buraya","positive"
"cosmetic","she looked 10x better without the makeup","spam"
"general","or just be rich","positive"
"general","congratulations","spam"
"general","no hate she looks like younger georgia from ginny and georgia","spam"
"general","hermosa me contagiaste t entusiasmo gracias me isiste el da","positive"
"general","mam apki base caheay","positive"
"general","around her age i used to sleep with my mouth open till its only 15 minutes left for my scl bus to arrive washed face and head full of coconut oil was my only beauty standard","positive"
"general","","positive"
"general","","positive"
"general","you got issues seriously","negative"
"general","my brother said a lifetime of a hamsters poo","positive"
"cosmetic","ap ke makeup name kya hai","positive"
"general","can you do bts v pls","positive"
"general","","positive"
"general","stop wasting food pls there are homeless peaple out there","negative"
"general","hey i saw u today in ambience mall gurugram","positive"
"general","night","positive"
"general","kaveri mehndi","positive"
"general","why would you read that","negative"
"general","how are you so gorgeous","spam"
"hair","belle hairs and ariel streaks","positive"
"general","bosdiwali kitni overating kari","positive"
"general","day 1","positive"
"general","where have you been girl","positive"
"general","wow","positive"
"general","ayo thats impossible u turned beautiful when u face ur tape no filter maganda mo kayo","spam"
"general","hi pratishtha you can surely follow these exercises and the other remedies mentioned in the video team glamrs","spam"
"general","ginger do be","positive"
"general","kak rikues make up ala changdorry","positive"
"general","heh ajin","positive"
"general","n ive liked him for a while now for a long time i will tell him at 100 likes if possible or 50 likes","spam"
"general","to whoever is reading this jesus loves you and hes coming soon all you need to do to be saved is believe that jesus christ died on the cross for your sins was buried and came back to life on the 3rd day confess with your mouth jesus is lord and youll be saved god bless","spam"
"general","you are already pretty","spam"
"general","wheres you buy","positive"
"general","","positive"
"skincare","bro my skincare routine is soap water and a towel lmao edit 500 likes whaaaaaa you guys are crazy edit thx for 800","positive"
"general","di meri sono mene bhi kiya h kaveri mehndi good product h an usme koi sa bhi kamikal nhi hota hai plz mera naam le na l can like you an also subscribe you okk by","spam"
"general","best makup","spam"
"general","","positive"
"general","i think its beatiful without make up","spam"
"hair","ive never been the first comment also that hair ate","positive"
"general","your pretty just the way u are and im the same too","spam"
"general","subscribe","positive"
"general","bride not bridal toouuba hy kia ho geyya hy app logon ko","positive"
"general","this was so beautiful","spam"
"general","tqem eresit","positive"
"general","itu masker badan mbak","positive"
"general","pagal jaise kyu kar rahi hai like karo","positive"
"general","cailou","positive"
"general","i searched for history chapter 2 and got this one","positive"
"cosmetic","wow mam so beautiful makeup god bless you","spam"
"general","too damn expensive","negative"
"hair","so you need to place the hair in hot water with a lot of conditioner place a bit of conditioner at a time and mix then repeat to know how much conditioner you need you stop when the water turns a murky white or whatever colour the conditioner is place the wig in the large bowl the water is in then make sure it stays in there with a spoon dont touch the water as it is very hot also dont brush the wig wait for it to dry then see how good the wig looks it may not be curly though","positive"
"general","europe","positive"
"general","","positive"
"general","nothing against you or your sponsor who i am confident provide a good product but some of us older guys just dont wat to buy into the subscription model im not buying anything at one price knowing that the vendor will want to charge me periodically at some higher price not me","positive"
"general","bhayankar ati bhayankar","positive"
"general","such a cute fit i love it also has anyone ever noticed that we never see her face just her aesthetic life outfits and routines","spam"
"general","","positive"
"general","my eyes","positive"
"general","shade match to ho ni rha","positive"
"general","butta lace wigs surprised me and yessss everette is looking right","spam"
"general","thats gay","negative"
"general","shes a generic supermodel to me no personality at all shes not pleasant to look at we need more models with unique personality and a bit more relatable not a boujee fashion model a breath of fresh air its so tiring to see a supermodel like this","negative"
"general","you","positive"
"general","me at first thinking what the hell am i watching at the damn he looks amazing","spam"
"general","why is her head always tilted not hate just observation lol","positive"
"general","cute","spam"
"general","","positive"
"general","girl you are just too holesome","negative"
"general","mulan","positive"
"general","fr","positive"
"general","everything looked incredible i love the theme that was my sisters baby shower theme also","spam"
"general","oh my god slayed that mcdonalds speedrun queennnnn","spam"
"general","cute","spam"
"general","its that time of the ear again","positive"
"general","cest vrai ce que tu dis mimi","positive"
"general","yup","positive"
"general","odgc apa odgj","positive"
"general","yes i now have different countertops and flooring that are high quality and dont stain as easily","spam"
"general","lndia","positive"
"general","i have a lot i just lose them all","negative"
"general","my is 1960s","positive"
"general","loll wow i am old this was my middle school","positive"
"general","pwoli dance","positive"
"general","thanks diamond consistency is key","positive"
"general","me compared to youi look trash","negative"
"hair","you look so pretty with that hair color","spam"
"general","as a man please keep make up","positive"
"general","dude is looking for a man not a woman","negative"
"general","ginger","positive"
"general","matanya","positive"
"general","no you dont","positive"
"general","aaaaa so pretty","spam"
"cosmetic","youre so pretty even without the makeup","spam"
"general","este vdeo promueve actividades peligrosas para la salud fsica y mental por favor piensa 3 veces antes de subir este contenido muchas nenas adolescentes te estn viendo y les influyes","positive"
"skincare","anyone here with sensitive skin i get hundreds of tiny pimples even when only one shit thing is in the product","negative"
"general","india","positive"
"general","someone show her dua lipas video","positive"
"general","name mam","positive"
"cosmetic","makeup to mind blowing lga","positive"
"general","yesssss congrats chula hope u had a great time","spam"
"general","herralexugoshe still loks cute","spam"
"cosmetic","u will do makeup of face juhi chawla","positive"
"general","yess girl slay","spam"
"general","mantap banget bos","positive"
"general","hi","positive"
"general","porno i had no idea omg","positive"
"general","oml yesss","spam"
"general","hiee","positive"
"general","ariana grande","positive"
"general","thats why government job is necessary","positive"
"general","ella con un pelaxo y yo con pelito en pleno crecimiento","positive"
"general","thats one of the gayes things ive seen in a while","negative"
"cosmetic","i was very happy with my wedding makeup maine sirf apne mn ka kraya tha","spam"
"general","day night look so beautiful","spam"
"hair","ese hairstyle ke liye hair bhi ache hone chahiye","positive"
"general","night look","positive"
"general","u are a true gem no fakeness just genuine and real person","spam"
"general","guys like you should be put in the prison for destroying young boysturning them into girls","negative"
"general","so wonderful yaar","spam"
"general","sameeeeeeee omg i found my twin","spam"
"general","i though that it was a wig","positive"
"general","neeeeeeeeed earring details","positive"
"skincare","konsa moisturizer best hota hai makeup ke liye comment please","positive"
"general","how many times we have to use rice water in a day we should wash our face with normal water or leave it what should we apply after washing face with rice water please reply","positive"
"general","older because then they can drive me places if i dont have a car","positive"
"general","","positive"
"skincare","nothing is wrong with men these days just like women need skin care and care for their health men do to men also have feelings not just woman","positive"
"general","i commend your skills and level of patience while doing this","spam"
"general","u should get dreads you would look nice","spam"
"general","perfume","positive"
"general","","positive"
"general","cute","spam"
"hair","when did i say my hair was spaghetti","positive"
"general","beautiful","spam"
"general","stop talking","negative"
"general","","positive"
"general","i agree make up should enhance your natural beauty","spam"
"general","chess board ahh cut","positive"
"general","what the fuck i thought it was real","negative"
"general","is there india vs pakistan","positive"
"general","lina tutto ci bellissimo ma capelli ancora pi belli","positive"
"general","omgnora ke itni beezaati","positive"
"general","which shade cutie","spam"
"general","red was never there","positive"
"general","beautifull gyal","positive"
"general","u are beautiful both ways","spam"
"general","auntie what u doing","positive"
"general","wenn sie filialen hier in deutschland htten ich wre stammkundin","positive"
"general","india is super","spam"
"general","hi search about islam religion i dont really have better gift","negative"
"general","pramotion rukna nahi chahiye","positive"
"general","","positive"
"general","ichmagdeincanalgeflltmirsehr","positive"
"hair","i hate curly hair and i love when people bully your hair hahahahahahaha","negative"
"general","yes girl","spam"
"general","thank you for your comment please check out our facebook wwwfacebookcomslbasics instagram wwwinstagramcomslbasics or order through website wwwslbasicscom call 03041110752 or whatsapp on 03022227427","spam"
"general","im a guy and this is unrealistic i turn into kfc and watermelon","negative"
"general","in india its not disabled but specially abled","positive"
"hair","hair achhe hai par hairstyle uski tarah nhi hai","positive"
"general","you i you","positive"
"hair","a lot of people dont understand the even quote unquote high end reputable places selling real human hair are often full of really unethical practices if not just outright human trafficking and stealing hair from victims of genocide and imprisoned people if that temu wig does in fact have real human hair and honestly it probably doesnt i would bet almost anything it was not sourced in an ethical manner and i dont know about you but i would never feel comfortable about wearing a potentially enslaved persons stolen hair on my body real human body parts yes including hair is going to be expensive","negative"
"cosmetic","thats chinese lipstick","positive"
"general","all time u come up with speechless creativity","positive"
"hair","short hair looks 100x better on you than long","spam"
"hair","koe wetzel cuts hair too","positive"
"general","waoww what a name valentine in october","spam"
"general","hey once they have had a walk in ur shoes dont listen to them","negative"
"hair","why does she need it when her hair looks full healthy and fabulous i could understand it if she was going for an entirely different look but shes trying to duplicate the look she already hasthick healthy and kinkyif only we could be content with what we have i met a woman with the most beautiful curly red tresses she absolutely hated it i said girl do you know how many people would die for that hair and are trying to duplicate it she said i know society tries to tell females what is the standard of beauty but women need to accept themselves as beautiful and applaud their fellow females in their beauty as well then the standard of beauty will be accepted all around as a happy healthy variety of fabulous women amen amen lets uplift beauty in all women","negative"
"cosmetic","elegant ive gotten pretty good at using makeup before but never tried red lipstick feel insecure and i also like the artists swatches jung eun chae thank u for this","spam"
"general","took if the men find out we can shapeshifter theyll calm the church to a whole other level","positive"
"general","no i cant keep it sorry notsorry","negative"
"general","","positive"
"general","it was a wig its not the same color","positive"
"cosmetic","di you i like your without makeup look like this you are looking so cute really","spam"
"general","the brown one is js bc she used an inaccurate color but she actually is brown","positive"
"general","yaaaaaaaassss sis","positive"
"general","cest de la colle il a t retrouv des morceaux de colle sous la peau trs dangereux","positive"
"general","moustache","positive"
"cosmetic","my wife wears makeup for her i think she looks great without it and in my opinion the real no makeup side in this video looks better","spam"
"general","sundari masha stone","positive"
"general","","positive"
"general","only dif better chin","positive"
"general","you look like tzuyu from twice","positive"
"general","when kat von dee isnt the owner of kvd a lot of people are using it now lol","positive"
"general","","positive"
"general","2020","positive"
"general","vihi5639 dont you think they understand that now that 3 people have commented it lmao","positive"
"general","so pretty","spam"
"hair","hair is natural dont choose for her back off","positive"
"general","","positive"
"general","nyc","positive"
"general","i think you look gorgeous the way you r","spam"
"cosmetic","wow so beautiful you are makeup doing","spam"
"hair","short hair suits u the best out of all your other hair its so pretty","spam"
"general","h","positive"
"general","yes 100","spam"
"general","","positive"
"general","super","positive"
"general","","positive"
"general","","positive"
"general","thats my mother she is the best","spam"
"general","but he didnt","positive"
"general","video thoda short bnai pls","positive"
"general","you are so rude","negative"
"cosmetic","literally looked better before makeup","spam"
"general","youre so cute","spam"
"general","wowwwww","negative"
"general","ive done this for so long that i just kinda do it mindlessly you have to be careful tho because if you do it too hard its obvious and just makes you look kinda cringe","negative"
"general","the struggle is real","negative"
"general","somebody please explain to me whats happening whats wrong with her what did she do","negative"
"general","there is no black or white is just different flavors of toasted","positive"
"general","do red","positive"
"general","yfnomegjdb","positive"
"general","our apne jewelry kaha se liya","positive"
"general","the person i put in the comments needed more attention i was trying to spread their channel","positive"
"general","","positive"
"general","1950s","positive"
"cosmetic","one day before makeup expires","positive"
"general","she said","positive"
"general","","positive"
"general","i just love whenever you shoot with natural background lovee itbtw thanks for these amazing tips","spam"
"general","balti bhar bhar kar paint lagai h","positive"
"cosmetic","how to eat lipstick","positive"
"cosmetic","makeup products ka link please","positive"
"general","","positive"
"general","thank you so much for watching","spam"
"general","ye taiyaar hoke jata kidar hai","positive"
"general","linda","positive"
"general","","positive"
"general","how old are you","positive"
"general","so beautiful","spam"
"general","that was so cute","spam"
"general","","positive"
"general","ten out of ten","positive"
"general","","positive"
"general","heard about cyberpunk yes dont know if im going to get it","negative"
"general","if you cant pronounce written words please go back to school","negative"
"general","fionashrek","positive"
"general","is the same face of wednesday i love it","spam"
"general","you are not a woman get that in your head","negative"
"general","dry af","negative"
"general","starting ending","positive"
"general","bro its stupid how people only think people who are from korea thailand japan china are only asian and not other asian countries wtf wat about philippines vietnam pakistan bangladeshi india bhutan nepal etc etc etc","negative"
"skincare","me wishing i had mat skin randomly getting tips for glowing skin again","positive"
"hair","thrid girl second hair style is so good but she is put a bad hair style for her hair its not matching for her hair","negative"
"general","trans women arent women","negative"
"general","no one asked","positive"
"general","","positive"
"hair","just because it dries straight doesnt mean shes lying about it she just haves naturally straight hair","positive"
"general","link","positive"
"general","bura laga","positive"
"hair","imagine trying that but its there real hair lol","positive"
"general","","positive"
"general","awesome video thank you as a 67 year old hispanic woman i am definitely not represented in the make up world i find it even more disturbing when when you go to a store and i experience these sales people selling us items that 1825 year olds wear that make us look ridiculous it breaks my heart","negative"
"general","beglowing8608 believe me","positive"
"general","pls do tsylor swift as anime","positive"
"skincare","personally i would never date a guy who doesnt take care of his skin","negative"
"general","night","positive"
"general","ginger fits you blonde makes you fabulous but bald is your true form","spam"
"general","wow","positive"
"general","laughing hard","spam"
"general","you are perfect","spam"
"general","i dont drink water you should start if you dont want to look like fifty before your thirties","negative"
"general","lol","positive"
"hair","im a guy with long hair i feel like a unicorn people in public want to touch it","positive"
"general","the video we needed but didnt deserve thank you","negative"
"general","glop ap mommy","positive"
"general","thats because she has tmj when she clenches a lot or chew on food the muscles on her jaw gets bigger","positive"
"general","4and1","positive"
"general","but the ginger is stunning on you","spam"
"general","its cute pretty and soooooo beautiful","spam"
"general","your family is muslim please answer me","negative"
"general","link please","positive"
"general","i like the before tho","spam"
"general","oh blush is the game changer to look chubby","spam"
"general","eu gostaria muito de ir mais s tenho whatsapp","positive"
"general","vaishnavisingh6192","positive"
"general","wish i was born back then","positive"
"general","i love you i love you sami","spam"
"general","the simps are spreading","negative"
"general","love u","spam"
"general","why the hell do i think she looks better without a wig on","negative"
"general","tab bhi khebdi thi aur abb bhi","positive"
"hair","synthetic hair being cut at the start","positive"
"general","creature","positive"
"general","food is a toy for you you cant play with food","negative"
"general","wow classic sharing good work keep it up stay safe","spam"
"general","amazing im 53 and was wondering how to deal with the now downturning eyes great tutorial gorgeous","spam"
"general","","positive"
"general","","positive"
"general","its stupid how you absolutely ate this","negative"
"general","america","positive"
"general","1010","positive"
"general","v","positive"
"general","price kitni hai","positive"
"general","why do we need tocover up our beauty btw this obviously fake","negative"
"general","soo cute","spam"
"general","super cute","spam"
"general","you just said not to put it behind your ears","positive"
"general","its like sun and the moon","positive"
"general","she is so pretty","spam"
"general","nice very good video didi","spam"
"general","love you girl","spam"
"general","que bonitos cortes","positive"
"general","can you pls do","positive"
"general","can someone tell me the piano song that plays in the background","positive"
"general","night","positive"
"general","apobiyer saj ta daw","positive"
"general","didi you are so cute and beautiful","spam"
"general","east or west india is the best","spam"
"general","as a 57 black man whos facially handsome i would trade my face for 5 inches in height without a 2nd thought body and physique just matters more","spam"
"general","slay","positive"
"general","","positive"
"cosmetic","everyone lying so badlyjust to make 1 person feel better about themselvesim not even gonna lie not even a wig and makeupim gonna save you","negative"
"cosmetic","so many girls are soo ugly without makeup where are all the natural beauties do they even exist any more","negative"
"cosmetic","i have 3 sisters but im not sure what they are called but they are used for spreadingapplying makeup am i right","positive"
"general","poli","positive"
"general","agreed","positive"
"general","so beautiful what size of the t3 curler do you use","spam"
"general","me encantara q este traducido en espaol","positive"
"general","i like 1990","positive"
"general","how long does it last","positive"
"general","what abt filipino","positive"
"cosmetic","this is my go to makeup","spam"
"general","my favourite is 1990s becos my mum was born in the 1990s","spam"
"general","you are very preety","spam"
"general","pink is my favorite color and im a preppy too","spam"
"cosmetic","beautiful face doesnt need makeup","spam"
"general","welcome sweetie","spam"
"general","is that you in your profile picture","positive"
"general","girl im about to start using vaseline","positive"
"general","slay girly you are beautiful","spam"
"general","beyonc will have someone write whatever yall want to hear its just a money grab her products will more than likely be trash she doesnt care at all she just needs everyone to run out and try it shell make millions off that alone","negative"
"general","","positive"
"general","the 60s and the 20s","positive"
"general","literally youve hit the nail on the head","negative"
"general","as a girl i cant even see the diff","positive"
"general","happens with meall the time","positive"
"general","literally","positive"
"general","yay us too","spam"
"general","i didnt know that it makes sense tbh","positive"
"general","im glad you like them i always giggle finding them for you too","spam"
"general","filter","positive"
"cosmetic","hey hack if you do not want eye makeup to go do it last pls pin","positive"
"general","love love all youre videos you always look amazing love the contents of this video thanks for sharing","spam"
"general","i dont know why but u look like chapri","positive"
"general","thats true","positive"
"general","i am beautiful i am loved and i am enough beautiful quote to live by","spam"
"general","your pretty before and pretty after","spam"
"general","jasmine but a bit more wavier","positive"
"general","thanks so much i loved making this video with gail and every video xoxo ro","spam"
"general","my turned down mouth corners said no unfortunately","negative"
"general","mujhe","positive"
"general","holy shit cute","spam"
"general","it looks so nice on you","spam"
"general","i love the new brad but i miss the old manni quinnn","spam"
"general","well you look beautiful and your cheeks are cute and trust me its the beauty standard in so many countries to have cute chubby cheeks i have chubby cheeks as well alaynad7r5f","spam"
"cosmetic","im an older babe than you dominique and even though known as pretty all my life i have thanked god for makeup many times and even more so as i age thanks for your valueable tips","spam"
"general","shes always pretty","spam"
"general","m1ku182 i kinda agree also since i grew up in the hood i kinda dont pay attention to personality in girls i should though but i cant what should i do","positive"
"hair","wow i can only wish non of my local hairdressers would ever do anything like this im sooooo envious","negative"
"general","is this dude gay or something","negative"
"general","some times water works and sometimes it doesnt best way to part a cowlick is with gel but i hate gel because while it does look slick it forms a crust","negative"
"general","i think what this song means is that you should have to wait for someone who doesnt like you back if your not you and that the time will come","positive"
"cosmetic","wow gorgeous makeup","spam"
"general","she does good make up","spam"
"general","me except im always sad","negative"
"general","im a sag and this is true bc this friend is trying to steal stuff from me so i ignore them then i do nothing about it","negative"
"general","night","positive"
"general","krea","positive"
"general","","positive"
"general","she looks very elegant beautiful","spam"
"general","","positive"
"general","you are beautiful","spam"
"general","zr dilerim","positive"
"general","you so preeeeeeeeetyyyyyy","spam"
"general","night is beautiful","spam"
"skincare","as someone that meets conventionally attractive standards and does not look good in dramatic makeupit makes me look like a child playing with her mothers makeupthe concept of no makeup is always better often but not always comes from a place of pretty privilege i prefer light makeup not none when i have the time with an outfit i put a lot of thought into sure vanity isnt always the best but making myself feel presentable based on my standards really makes my seem better basically no makeup makes you feel your best awesome dramatic looks super cool light makeup also fine take care of your skin of course but using mineral wateroil cleanser followed with a watersoluble cleaner and daily spf will ensure to minimize any negative impacts also test products to see hope your skin reacts","spam"
"general","to young","positive"
"general","you are so beautiful","spam"
"general","","positive"
"cosmetic","i love indian makeup because i am indian","spam"
"general","she suits almost any color shes so gorgeous","spam"
"general","sabi nga nila selflove my okasyon man o wala wag mong pabayaan ang sarili mo lalo po kaung gumanda","positive"
"general","","positive"
"general","99714 86434 this is our salon no call us for more information","positive"
"general","fenty beauty always reaches out to creators and i love the inclusivity and shade range that they have comes to show how brands can reach a wider audience and include poc in their campaigns if they just put in a little effort","spam"
"general","","positive"
"general","natural look nice","spam"
"hair","she not cutting hair","positive"
"general","shes a woman stop hating for no reason","negative"
"general","love it it frames her face and looks good on her","spam"
"general","beijinho no ombro pr i nvejosas","positive"
"general","msu11 youre very rude and your opinion is very inaccurate","negative"
"general","why teach children that make up gives you confidence","positive"
"general","aap apna upar wala hot kyo bhool jati h sotela h kya amazing entertaining","spam"
"general","this gender","positive"
"general","gareeb insan","positive"
"general","you are so cute","spam"
"general","","positive"
"general","straight","positive"
"general","so elegant","spam"
"general","barbaracloudinabur","positive"
"hair","is this hairstyle suitable for someone with fine hair","positive"
"general","ariah binik keng burung","positive"
"hair","pov you have natural black hair","positive"
"hair","i definitely have aurora hair but i want belle hair so bad","positive"
"general","new piece of advice be yourself instead","positive"
"general","she didnt even have to go that deep into explaining herself the scrunch instantly revealed her curls","positive"
"general","imagine the glitter getting into your eyes","positive"
"general","that looks so ugly omg you people can hate on me but it just looks like its gonna burn your eyelashes","negative"
"general","this black women sounds like a female woodyof course it comes out the scalp if its the real deal black women are so used to wearing wigs that coming out the scalp has become a saying self hate makes blacks look dumb","negative"
"general","her voice is so cute","spam"
"general","how can someone give birth to a monstosity like u","negative"
"general","big nose and recessed mandible gang","positive"
"general","from start to finish incredible","spam"
"general","sob dress itna pyara hai ki mein kya hi batao mujha vi aise dress lane ka bohat sok hai but hamari india mein etni asani sa nhi melta","positive"
"general","idk edible lipgloss like wtf is that","negative"
"general","can they comb like normally","positive"
"general","she is so pretty like if u agree","spam"
"general","","positive"
"general","reyeu6mp serah lu bwang","positive"
"general","koi jawab hi ni","positive"
"general","","positive"
"general","lipgloss","positive"
"hair","beautiful girl the short hair suits her","spam"
"general","belle","positive"
"general","rat nhanh v dep beautiful","spam"
"cosmetic","lol she went to have makeup with already done makeup","positive"
"general","apnar address ta diben","positive"
"general","sjfjnz","positive"
"general","the problem is after washing to keep it styled like this","negative"
"general","such a beautiful sharing great work donefwt","spam"
"general","wow wow wow wow wow excellent such a pretty women she has an aristocratic charisma beautiful and i like her reaction very much","spam"
"general","women are not objects tiktok","positive"
"general","i am a big fan of you i have a video of you","spam"
"general","hudas make up is og arab style","positive"
"general","ooohhh make up ka itna weight ma tw kbhi na utha sku","positive"
"general","indian look is amazing","spam"
"general","when i stand in front of the mirror i see a normal straight face in symmetry when i want to see my profile and use two mirrors i see two different profiles and it makes me sad pays me","negative"
"general","thanks for the love and support","spam"
"general","what if youre a combination of all those features i wonder what that would look like","positive"
"general","shes beautiful","spam"
"general","same person i think not","positive"
"skincare","these dumb ppl think its bc of her being fathell nothat is just leftover skinsometimes leftover skin will look like fat","negative"
"hair","my hair is straight with slight waves but acts curly","positive"
"general","1960","positive"
"general","the eyeshadow palette is from erinde on amazon in shade 04 cement and the contour palette is from kaleidos 3","positive"
"cosmetic","you are orlaidy beautifull you dont need any makeup cutoooo","spam"
"general","night look","positive"
"hair","you remind me of katie from american housewife also i love the hair","spam"
"general","isnt the lip balm company","positive"
"general","useless qnd and mad people every where","negative"
"general","beautiful","spam"
"general","its ok not im not impressed with the product","negative"
"cosmetic","anggry girl makeup","negative"
"general","diiii this suits u alottttt","spam"
"general","cute","spam"
"general","girl is so gorgeous","spam"
"general","contacts","positive"
"general","","positive"
"general","splendid","positive"
"general","wow anna supernanum pannuvey clg pogum bothuinnu alaga","positive"
"general","kishu thukral thank you","spam"
"general","dont become kiara you are a pagal bewakoof girl","positive"
"general","day","positive"
"cosmetic","im a bit sad that crayolas makeup wasnt a hiti really like the unique and cute packaging","positive"
"general","you look great make sure not to let anyone out you down","spam"
"general","where is the guy that measures people at for proof","positive"
"general","untouchable","positive"
"general","","positive"
"general","2020 is my favorite","spam"
"general","grimes","positive"
"general","she is so cute","spam"
"general","i saw dustin","positive"
"general","","positive"
"general","you are a diva your techniques and strategy really show us that you are so talented","spam"
"cosmetic","im actually jealous of her face without any makeup","negative"
"general","plz contact number","positive"
"general","jlkasjdfkljsad lol","positive"
"hair","hairstyle bahut gandi hai","positive"
"general","onek onek valobasa nio dera","positive"
"general","jgkckfofjxjxkfldkzn bjcmckcb kxgkgkvjcn","positive"
"cosmetic","so beautiful makeup","spam"
"general","i cant sleep on my back im scared of getting sleep paralysis","negative"
"general","girl are you okay ur eyes look like you were crying before","positive"
"general","obsessed with this transition","positive"
"general","omg same","positive"
"general","both are awesome","spam"
"cosmetic","india makeup is best","spam"
"hair","u got any for curly hair","positive"
"general","dem feminine but to be fair im a trad goth so kinda expected lol i 3 both sides though","positive"
"general","one of my very first gourmands","positive"
"general","utna kuch khaas nhi tha but good keep it up","spam"
"general","girl ur soo pretty","spam"
"general","wow you did a good job blending","spam"
"general","fun fact she twined with aliawhite tank top","spam"
"cosmetic","thank you for doing pakistani makeup","spam"
"general","cute","spam"
"general","lots of love","spam"
"general","","positive"
"cosmetic","my first thought when she put the foundation not the whitewashed face","positive"
"cosmetic","i like makeup because its damn fun its the same way cheese and all the sweet arent good for your body but who the fuck cares youd still have them","negative"
"general","face","positive"
"general","tips","positive"
"general","","positive"
"hair","girl hair","positive"
"hair","can someone please tell me how i can get thicker hair with volume i have no volume and thin hair","positive"
"hair","i liked the mother of the black short hair","spam"
"cosmetic","what foundation is that name please","positive"
"general","bro got 20 years younger","positive"
"general","i prefer the no make up part want to see dark circles and pimples on women","positive"
"general","leafs who leaves","positive"
"general","ohh tabhi girls ko ready hone me time lgta h","positive"
"general","beautiful sis","spam"
"general","todo mundo um tom de laranja","positive"
"hair","i hate when people gatekeep curls there is a reason that lots of people have no idea they have curls and end up trashing their hair as a result i have met so many people who didnt know they had curls until they were in their 20s","negative"
"general","1st one me in summer 2nd one me in winters","positive"
"general","de slo mirar me cans la mujer con maquillaje sutil es ms natural toda mujer es hermosa pero entiendo creo que es por cultura para ellos","positive"
"general","","positive"
"general","insta id sanasheikh2018","positive"
"general","my lips already have that dark outline lmao but i also have the bad habit of biting them","negative"
"general","trance","positive"
"general","wow","positive"
"general","aminaaqqoqoso","positive"
"general","so good you literally have such a good talent ive been watching you for years but i just got a new account so yea but next please do","spam"
"general","bald","positive"
"general","","positive"
"general","she looks kinda like jisoo of blackpink","positive"
"general","thanks","positive"
"general","the hell are you on","negative"
"hair","what in the lumberjack is styling her hair","negative"
"general","","positive"
