clean_comment,sentiment,category
1960 and 2010,positive,other
majority of the women experience this they get shamed for wearing make up then some man will show a naturally pretty woman who is literally wearing all types of make up,positive,other
😊😊😊😊😊 nice 👍👍👍👍👍👍❤❤❤❤,positive,other
❤❤❤❤❤❤❤,spam,other
2016 and 2025,positive,other
lucky,negative,other
u r very beautiful💐❤,spam,other
disclaimer this video is sponsored by miss ross,positive,other
😂,positive,other
obsessed,negative,other
mam ye extension kitne days ke liye hota h,positive,other
brown hits different ✨,spam,other
darkedit11 😂,positive,other
song,positive,other
thanks very much,spam,other
comedyshortsincu sound like does 11 year old boys who try to be like does dumba alpha males,negative,general_command
aap bengali ho ho,positive,other
you guys are queens,spam,other
i love philippines,spam,other
its cute ☺ i love her looks and not to be offensive you look like a cute dalmatian❤,spam,general_command
your a beautiful woman with out wig or makeup,spam,cosmetic
are you feeling repelle me begging at his feet me teach me,positive,other
hopefully doja cat wont see this makeup 😂😂😂😂😂😂,positive,cosmetic
❤❤❤❤❤❤❤❤❤❤❤,spam,other
why do girls always feel the need to pout their lips when taking pictures😂😂😂,negative,other
l love this colour,spam,other
v,positive,other
get the man off of my feed,negative,other
how the fuck was it like 4 different colors across the video,negative,general_command
the girl in the interview is the definition of a pick me🙄🙄,negative,other
that hair color is gorgeous on you and it doesnt hurt that you are stunning yourself love the content,spam,hair
thanks for the inspiration i now know what i want for carnival😍,positive,other
shes right i used to be so obsessed with make up and now i dont even use it at all unless i need to,negative,other
ekdam jaise laiba khan,positive,other
❤😍😍,positive,other
beautiful 👍👍👍👍👍,positive,other
not really,positive,other
😮 sa teva trop bien,negative,other
u dont look greek ok lemme just turn into olive oil,negative,other
youre welcome bestie 💖,positive,other
❤🎉 🐈 😻 🐈⬛,spam,other
stop fishing for compliments my gosh,negative,other
you are gorgeous,spam,other
🫸🔥,positive,other
wow 🔥🔥🔥,spam,other
caper gk sihh😏😌,positive,other
does anyone else hear a very high pitched like static sound in the back of her videos,positive,general_command
yah l am seeing results l advice to do it for so months or a year dont press to hard do it softly,positive,other
wowbest skincare for mens👌👌👌👌waiting for ur next vdo apu❤,spam,skincare
pov she look like a beautiful filter,spam,general_command
men wearing makeup is just😍,positive,cosmetic
women get boob jobs and other cosmetic surgeries while limb lengthening is more of the extreme its the same principle women shouldnt judge given time improvement with technology will improve these type of surgeries,positive,other
im a boy♂,positive,other
mn mn me hi khub rona aaya hoga,positive,other
i feel bad for you 😢,negative,other
after makeup she exactly looks like lovely youtuber nilanjana dhar,spam,cosmetic
didi tomaka vison valo lage 🥰🥰 love you di,positive,other
if u combine this with the porcelain doll makeup trend it would look so good,spam,cosmetic
looks good,spam,other
absolutely gorgeous😮,spam,other
again this shit still goin on huh such lifeless people man leave them alone,negative,other
black tea ☕,positive,other
lip balm,positive,other
ew,positive,other
its been 5 years lol,positive,other
her face whenever youre first start working on her and you pull her out of her grave shes like why did you pull me out i was sleeping💤💤😴😴🛌🛌,positive,general_command
pls do 🧊🌈🔮♌,positive,other
❤❤❤❤yes,spam,other
hello thank you for your comment keep supporting us we have a wide range of skincare products which you can check out on our website thank you,spam,skincare
😊😊😊😊,positive,other
elle est golle c vrait yeux🙄,negative,other
how is it my business 🙄,negative,other
nigatkhan3621 yapppp,positive,other
omg so cute,spam,other
pls 💋💅👹😭,spam,other
passed the entreviw,positive,other
😊😊,positive,other
my natural lips look like this 😢,negative,general_command
very beautiful i purple you everyone,spam,other
🔥🔥🔥🔥,spam,other
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,spam,other
❤,spam,other
whats this hairstyle called,positive,hair
yassssss,spam,other
you slayed this transition,spam,other
मन कई अपसर सवरग स उतर आई ह✨,positive,other
frndship krogi mujhse,positive,other
made it better,spam,other
amazing 😊,positive,other
i love you,spam,other
i love the idea ❤😂,spam,other
personally i cant relate bc i go to an all girls school,negative,other
algermia pliiiiiz 🥰,positive,other
you look stunning i love it ❤❤,spam,other
built in pillow,positive,other
iamapersont6s and yes she does address it in the video did you watch the entire thing,positive,other
muslim ❤❤❤❤❤,spam,other
yessss finally a real queen,spam,other
this audio make me wanna watch it again its so dramatic the audio ahhh,spam,other
i really wanna see brad react to brunette to ginger videossss,positive,other
shes giving riri,positive,other
hayeee kisi ki nazar na lage apko didu❤🧿 btw u prove that colour doesnt matter and all colors are beautiful😍✨,positive,other
both were good,spam,other
bald and blond,positive,other
can you do this 🎀🎯🃏🎨,spam,other
telling people to pluck their facial hair is some really bad advice u shouldnt pluck facial hair because if u ever want a beard when ur older u cant anymore,negative,hair
super se bhi uper,positive,other
245 are best,spam,other
can u do 😺🐄🥑🦋,positive,other
ella es bonita con y sin maquillaje envidiosas son las que le dicen comentarios despectivos,positive,other
userit5po2dq9w um look at dua lipa lol she has some masculine features not completely but there are some,positive,other
this is power off makeup 😂😂,positive,cosmetic
i hate her she is too much,negative,other
women out here hatin on the short kings while us men have to worry about this type of cat fishery 😵💫,negative,other
why do you look so angry all the time,negative,other
oh god help men be men😢,negative,other
indian,positive,other
is she saying allahs name in the bathroom 😂,positive,other
plz♈♉♊♋♌♍♎♏♐♑♒♓,positive,other
these are wonderful tips thank you😊,positive,other
i just watched it its not as good as the first one,negative,other
looking like a ghost,negative,general_command
they work and as a person with long lashes born with i hate it so why would i get longer lashes right ofc i will never do it because i get enough lashes in my eyes every day,negative,other
proud 2 be asian ❤,spam,other
🎉❤😢😅😊😂😮do it,positive,other
before i said to myself im not skinny enough but ur the one who made me think im pretty the way i am u made my day❤,spam,skincare
adaptive preferences do hurt women its not your choice when you forced to do that its also keep women poor to make them more available for males to abuse,negative,other
❤❤❤❤❤,spam,other
ikr how do i stop this,negative,other
thank mam pehale bleach bad me facial,positive,other
muslims ❤❤,spam,other
oh this video was about hair products 😂,positive,hair
well done my dear,spam,other
thank you ☺,spam,other
plz smal eyes pe makeup krny pe ak video bnay,positive,cosmetic
nice da❣,spam,other
pantes di liatin sama teman sekelas cowok lagi karna kk ny cantik bgt😍😍😍😍🥰🧚🏻♀🌹💞,positive,other
abosyoi parbe,positive,other
both,positive,other
red heads 👇,positive,other
she was,positive,other
babyy,positive,other
❤🩹❤🩹❤🩹❤🩹,positive,other
boycottrarebeauty,negative,other
você arrasa muito biaa ❤😍😍,positive,other
radha jaisa makeup boyfriend se milane ke liye,positive,cosmetic
well alright now fabulous ❤❤❤,spam,other
not to be rude but how did you write that,negative,other
smell like fish,positive,general_command
if youre old here im courtney ryan rotflmao,positive,other
2010s the finger its so funny 😂,spam,other
shes actually really correct other than the fact that shes wearing make up herself im not talking about the person in the video im talking about the person in the audio sometimes some make up can put some stuff on your face and you have to buy more when you dont know the make up is whats making you react,positive,other
i have both straight and curly hair,positive,hair
2 bar,positive,other
b f mobile se baat karti hai ki mobile ke cover se,positive,other
wowamazingu luk so beautiful sis 👍👍👍 recently i was watching ur video so many changes in ur makeupu keep rockingsis best wishes 💐,positive,cosmetic
my brother said makeup sponge😂😂😂❤,spam,cosmetic
my question is what foundation is this and where to buy,positive,cosmetic
zabardast 👍,positive,other
br,positive,other
yoo yall me need to grow up or go to another country 💯,negative,other
shayla mcbroom is that you,positive,other
night,positive,other
pls open a game plsss,positive,other
who thinks that denny did it better than the person in the video itself 😊❤,positive,other
why are you bald,negative,other
whats the difference between white and brown,positive,other
i swear if anyone from my school sees this lm cooked more down almost there m,positive,other
você é linda de qualquer jeito❤❤❤,spam,other
all,positive,other
desi,positive,other
i thought it was kinda giving crazy barbie anyone else,positive,other
ewwwww you dont need make up or hair you are pretty the way you are❤❤❤❤ i love you❤,spam,hair
i think its fake tan fading unevenly,negative,other
она сильно похуделавыглядит очень болезненнокак я когда болела рпп,positive,other
कय इसतमल करत ह,positive,other
thank you for watching video if you enjoy it please like share and subscriber to support our channel,spam,general_command
atleast dont copy someone else face for thumbnails,positive,other
thats fabbbb sis😍😍😍😍😍😍😍,positive,other
teenage me bra hi ni pasand tha 😆,positive,other
😂😂😂😂😂,positive,other
funny 😂😂😂,spam,other
अबन क शद म तमह बलय हग,positive,other
hi peachie💃,spam,other
dr sania is a lady from paradise and will be surely go back to paradise she is living legend and her performance during pm imran khan were out standing ahsaas program is launched by her and it was very successful people still appreciate her services allah keep her blessed always with good health and happiness amin her talks brought tears in my eyes,spam,other
bhi ye buty parler vali hai😂😂,positive,other
nice hi,spam,other
bts,positive,other
k dont even play you cant say she didnt eat,negative,other
ok ok slayyyy queen,spam,other
night is so funny ❤❤❤❤❤❤❤❤ i love you too and,spam,other
so beautiful my di 💖💖💖💖 happy diwali in advance 💓💓,positive,other
who else thinks denis version looks better,positive,other
moana and jasmine combined 😂,positive,other
😊 thank you,positive,other
what products from moroccanoil do you use i have the oil and been using it for years,positive,other
du bist schon eine nuts ne,positive,other
you look more beautiful than her😅,spam,other
1930 and 1960 and 1990😊 and 2010 and 2020😊,positive,other
tamsak done host lyn o here,positive,other
dollar tree press on nails,positive,other
nice,spam,other
this means a lot to me bc im pansexual,spam,other
i guess she is good now,spam,other
❤,spam,other
سبحاآنكـ آللهم وبحمدك أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك 💜💜💛 إللي يقول هذا الذكر لا يغادر المكان إلا وهو مغفور له بإذن اللـه 💛💛💜,positive,other
i love it 💗,spam,other
😂😂,positive,other
local kylie😄,positive,other
wow super model looks,spam,other
youre hilarious 😂,spam,other
so cute,spam,other
چه جذاب,positive,other
يا يامو ولي ولي لا تفكرو نحنا بنات سوريا نحنا والله العظيم ما بنحط مكياج,positive,other
👽,positive,other
my father said uhhh the pat pat pat its what your mom used to cover her skin,positive,skincare
india buityfull😇😀,spam,other
sugar is my favourite all my love ❤❤❤ happy new year 💖,positive,other
f ❤❤❤❤❤,spam,other
purple colour kis outfit ke sath kaun si lipstick lagaye,positive,cosmetic
desi,positive,other
slay girl ❤😊,positive,other
🥰🥰🥰أتا تشبهي لاقمر,positive,other
ahh ryan this is life changing 😂,spam,other
não precisa botar a boca no microfone não oxe o que você quer comer né pode comer,positive,other
shineever is it also work for me because i am ordering now 😅,spam,other
you missed a couple steps like aegyo,negative,general_command
literally me i have wavy hair,positive,hair
you are soooo beautiful ❤,spam,other
you dont have curly hair 👇🏼,positive,hair
mam make a vedio on upper lip make slim,positive,other
he is a miracle worker amazing,spam,other
prompt rétablissement à tous les malades bravo pour votre courage madame,positive,other
apparently is a hair dye lol,positive,hair
idk bro ive been seeing you do your own makeup for a long time and this is not you it doesnt look cohesive it looks like youve got 5 shades of brown in different parts,negative,cosmetic
i do not agree black hair dose grows maybe maybe it doesnt grow that fast yes maybe other nationalities,negative,hair
lip liner shade no pls,positive,other
i love all,spam,other
he,positive,other
modern generation remember the old generation they are warriors and what are you,positive,other
india is best,spam,other
😂😂😂,positive,other
needs to be even shorter,positive,other
i dont wear make up at alli have imperfections and i can see its not a problem to get attentioneven when you dont want it,positive,other
beginning🤪 end 👽,positive,other
sehr coole aktion👍,positive,other
india is always best and now also,spam,other
eye makeup remov kese krenge,positive,cosmetic
hindu ❤❤❤❤❤❤,spam,other
lol,positive,other
1960s reminds me of a person named barbara,positive,other
❤,spam,other
fat people are also humans plz dont treat them like stray dogs,negative,general_command
phone nahin hai vah phone cover hai vah😂🤣😂🤣😂😂😂😋🤣😂🤣😁😁😁,positive,other
aww thank you dear 😘😍 please share 💖🤗,positive,general_command
korean makeup 💄,negative,cosmetic
dahi,positive,other
didivai tumi live video koro na go,positive,other
day and night look,positive,other
yall just hating on a child rude,negative,other
,positive,other
youre right their queens 👸,spam,other
omg what a transformation you have a magic in your hand with any kind of skin tone👌👌,spam,skincare
the girl in the audio is making me cringe typical not like other girls type shit,negative,general_command
kiero hacerme un corte asi,positive,other
the korean side is the makeup i wear,positive,cosmetic
i had the crying game vibes,negative,other
la,positive,other
you are very bad app result show q nhi krti ☹☹☹,negative,other
shes so relatable,spam,other
make a one video daily please🙏,spam,other
well depending on how close youre to the bride in india you could effort to look like a 8 or even a 9,positive,general_command
beautiful shivi😍❤,positive,other
1980s❤❤❤,spam,other
those before photos were after you were done swimming bruh,positive,other
the first one is karen 101,positive,other
🩵🩵🩵🩵🩵🩵,positive,other
du❤❤,spam,other
❤❤,spam,other
beautiful ❤❤,spam,other
very nice,spam,other
thanks,positive,other
beautiful,spam,other
we wish we dont ware hijab to do the cute hair styles🥺,positive,hair
🤩,spam,other
m his name is malachi,positive,other
if she is comfortable with her weight its really not your business any health problems that arise which can happen to people of any size are only the business of the unhealthy and their doctors also minding everyone elses business clearly shows that youre not doing too hot either,negative,other
if yeah whos ur girlfriend,positive,other
pero si tiene talento,positive,other
nice,spam,other
she is wearing her sisters dress in the end,positive,other
you are college pass girl because you are have so many makeup and how your mother allow you to do do so many makeup 😡😡😡😡😡,negative,cosmetic
she is like a magician what a big difference cant wait to try all of her tips,spam,general_command
angry girl,negative,other
bridal or party makeup used in palour is here,positive,cosmetic
fast furious is my favorite too👍🏼,positive,other
didi dedh sau rupay ka headphone lga k kattii jehar kattti jehr khti hwhi waali didi h ye,positive,other
nah not enough spray deodorant,negative,other
you look like areanda granda on the last one,positive,general_command
c for crush,positive,other
i live in md ❤❤,spam,other
я думала это слайм или как его лизун детский в банке 😂,positive,other
wow,positive,other
idon t like😂,positive,general_command
wow eniola thank you very much for this information very educational but i have question do these routines apply to the face as well,spam,other
try the back friking idiots think shes fakin,negative,other
fambruh,positive,other
is she a mathematics artist lol what i search what i got 🌚🤌,positive,other
1시즌은 좋았는데 할많하않,positive,other
india,positive,other
beautiful❤❤❤❤,spam,other
you talk way too much less talk more action,negative,other
she looks like a normal human to me with and without makeup if you think youre way more prettier than her without makeup that u are giving opinions on someones body when no one asked them maybe try going for miss universe,positive,cosmetic
i just realised you have just one video on your channel but i subscribed cus i enjoyed it and i wanna see more stuff❤,spam,general_command
you look beautiful in ginger and your natural self 💖💖❤🎉,positive,other
contact lenses shade name plz,positive,other
tu pagal hai tu pagal hai tu pagal hai tu pagal hai tu mere paas kuch nahi ho sakta h kya hai tu mere paas kuch nahi hai tu mere paas kuch nahi hai tu,positive,other
❤❤,spam,other
not even kylie jenner looks like kylie jenner anymore,positive,general_command
why do you tease the hair,negative,hair
horrible thats not the same lipstick 💄,negative,cosmetic
india,positive,other
nice look,spam,other
i have face shape similar to yours and trying to figure out a suitable look for myself your video is really helpful and you look amazing with this makeup look hope you create more makeup tutorials tysm,spam,cosmetic
cute idea my hair has to get a little longer for me to try this trick but im definitely going to try it on my 4 year old granddaughter whose hair is always in her face and it drives me crazy🤣,spam,hair
ha ha you are soo hilarious,spam,other
my anxiety when i saw it it her eyes 📈📈📈📈📈📈📈📈📈,negative,other
🌻,positive,other
👣🕸🔪🌓,positive,other
rashadslife no way you paid 100 😂 hell nah i was thinking bout getting one till i saw the price shit ill just get a lil spin brush thanks anyway g,positive,other
damn sexy af hello 🖐🏾 bae took the assignment to another level,spam,other
that is sosososooooo good i could never,spam,other
love 🥰,positive,other
omg what sorcery is thisshe is the most beautiful woman on earth that bone structure those blue sparkly eyes such a pretty complexion this should be illegal unfair against all other women on planet 😢😅❤,negative,other
you should put a trigger warning for people who can not see blood cause you kinda looked like you murdered yourself,negative,general_command
how much time it takes to complete the whole process 😢😢,negative,other
❤❤❤❤❤❤,spam,other
is it just me or did he look like one of the stoke twins before,positive,general_command
so cute,spam,other
are you justin bieber girlfriend,positive,other
i actually like how my hair curves out because it doesnt get in my face and frames it really well also you are so pretty,spam,hair
wow😮😮😮☺,positive,other
i think she said isaiah,positive,other
s😅 bro you dont,positive,other
do 2016,positive,other
this is not all british people🙄,negative,other
this is the first time i have ever subscribed to a channel by watching just one video lmao,spam,general_command
this probably looks like 💩💩💩 in person,negative,general_command
first apply lip balm,positive,other
mam aap fitoor ki 30 episo de mein dilnasheen ka makeup kare look please like please,positive,cosmetic
yore ❤❤❤,spam,other
india,positive,other
even your hands look so beautiful youre truly so beautiful 😭🥺❤,spam,other
can u share link for the accessories organiser,positive,general_command
gotta love that getting a diploma is what is the goal these days not an education or knowledge in valuable fields that no one can ever take away nope just grade inflation if grades at all these days and a diploma in any ridiculous field im a graduate im hot people used to demand universities to provide top tier teachers that could impart real wisdom and practical knowledge now students cheer when class is cancelled a class that likely cost them over 700 1000 then they ask why their loans are so high and why they cant find jobs you didnt get an education you got a diploma but hey youre hot,spam,general_command
indian wear ke sath achcha lag raha,positive,other
thank you so much curly tales for this interview it is so so inspiring one of the best interviews on curly tales ❤,spam,other
5 giving food 1 boys answering 94 girls saying what people said,positive,other
levijedmurphy,positive,other
aapne eye ke bagal me kuchh jyada powder laga liya hai,positive,other
you look amazing but remember you are pretty with or without makeup,spam,cosmetic
can u say bottle of water please 🥺,positive,other
yay so fun i admire your boldnesss to change your look also your skin is beautiful 😍,positive,skincare
baab,positive,other
मकअप क नम बतइए कनस लन ह,positive,other
alleyrose24 u can call me a mistake or anything u want but he is still a man,positive,other
men with good hygiene are actually really attractive those who are commenting about other men taking care of themselves are the ones who have not been near a woman,spam,general_command
love this look😍😍❤❤👌😊,positive,other
dashing yash ji❤,spam,other
mashallah mashallah mashallah api you r soo cute and your husband mashallah soo sweet allah pak apko apki family ko dhyr sari khushiyo sy nawazy ameen love you api💞💞💞,spam,other
nope just the you,positive,other
i am convinced that your method of facial exercises will work more than other facial exercises l had practiced i felt the tension in my facial muscles while following your exercises while with the other methods that requires hand manipulation of the facial muscles externally l dont feel the effects as with your method i will now seriously consider using your method often,spam,general_command
ada halal dan bpom nya gak,positive,other
india is best,spam,other
mam apka no kiya h,positive,other
cest incroyable 😮😮,negative,other
sorry you did not win this trend i know somebody who has hair really long,negative,hair
absolutely hermosa mami see when everyone is trying to put you down just remember two things they really dont feel that good about themselves and also you have something so special and so rare and so beautiful dont ever forget that❤❤❤❤❤❤❤hermosa chica bonita 💋,spam,other
you are pretty the way you are❤,spam,other
itne lambe nail extensions hain aapke baby k sath aapko prob nahi aati inke wjh se,positive,other
are you telling liza koshy isnt talking rn,positive,other
btw where r u going😅,positive,other
i am skih and skih girls beautiful without hair cutting who can agree 😊,positive,hair
gurl you slayed❤😂,spam,other
american,positive,other
odgj jenis apa bang bisa nurut,positive,other
lol he was funny😁,spam,other
u are soo pretty btw❤,spam,other
very beautiful girl,spam,other
di wese to me apki mostly video dekhti hun but comments nhi kr pati hun kabhi but really aap bhot acha ho mana aap iska bhi payment lete ho pr ek insan apne life h jo kaam doctor la hota h wo aap ne kiyaa❤❤❤❤❤❤❤dil se apke liye blessings🙏🙏🙏🙏🙏,spam,general_command
as a loyal side part girl i gotta say that middle part looked pretty good lol thank you,spam,other
i love this type of eye looks 😘😘,spam,other
this is a legit question im not trying to be rude but i wanna know why you became a woman im not trying to be rude i love your account i just want to know your so good at that you should be a makeup artist,spam,cosmetic
bro at least your hair long,positive,hair
no difference,positive,other
cool❤,spam,other
jenniferibarra7737the new guy shes leaving her husband for was also married when they started hooking up allegedly,positive,other
meri tarah kise difference nahi dikha 😅😅😅,positive,other
no way same person are you saying this about yourself,negative,other
thank you so much,spam,other
❤❤❤,spam,other
u really do think that but just cover it up so your not cancelled,negative,other
مافيش حاجه تفتح,positive,other
you look so gorgeous 🖤✨🦋,spam,other
bald,positive,other
akka hairstyle video podunga,positive,hair
irl rapunzle,positive,other
прилучный,positive,other
paano nyo po nalaman na ayaw sa knya ng parent ni loonyonapanood kopo ung sa djs vlog pero ung s ababae aayw kay lunioat paano dw malalamn kung mahal pagdw ayw mona mawla sa knyakaht career pero bat tinatago ni lunio c girl meaning ma smahal ang careerhahhahaha,positive,other
thats my country 😳😳,positive,other
dont listen to them you are beautiful i wish i was pretty as you,spam,other
thank you so much ☺♥,spam,other
no one is born ugly we are just born in judgmental society kim namjoon💗🌚,positive,other
wtf,negative,other
so proud of african,spam,other
why do people not like boys makeup,negative,cosmetic
bruhhhhh u look gorgeous 🎀🎀slay queennnn ❤🩹,spam,other
all that make up im so sick of societal beauty standards and im sick of people pushing them on other people my leg hair is beautiful my underarm hair is beautiful the occasional acne from my period is beautiful my crazy hair in the morning is beautiful and if you dont think so your society is ugly and vain and empty,negative,hair
bros makeup u look a bit cringe cl,negative,cosmetic
beautiful,spam,other
very nice,spam,other
lol,positive,other
always 2020s 😂😂❤,spam,other
that issac is mine😊,positive,other
the craziest yhing is he rocks all of em,spam,other
💩💩💩💩💩😈😈😈😈👿😈😈👿👿☠💀,negative,other
still do this,positive,other
all people applied air on their faces and are expecting us to think its something on their faces lol,positive,other
you still look pretty with a mustache,spam,other
panchaverna kundan,positive,other
i think black calls for you❤😊,positive,other
im not saying this in a offensive way but i thought you were birthed a girl until a read the title you fooled me that must mean your beautiful and dont let anyone tell u otherwise,spam,other
bhaiya teachers nahin bole to theek hai per principal to school hi se nikal denge,positive,other
shouldnt the collagen mask be put on bwfore you do the makeup freckles,positive,skincare
ambani bhi kahega behan yeh kya pehna hai esse kapde seh toh haaam apni gaadi saaf kar wate hai😂😂,positive,other
hey ready to go to the bathroom 🚻 ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,spam,other
❤❤❤❤❤,spam,other
so i guess dred locs dont grow either 😅😅,positive,other
i wear it for fun around the house because i like making myself look different almost like acting makeup or to special occasions like birthdays weddings etc yk a bit of eyeshadow or lipstick but i dont wear it every day i dont agree that its needed and people shouldnt be insecure to the point where they have to wear makeup in my opinion but i dont think i or anyone else has the right to say it takes away from our beauty because its unnatural also the effects of the chemicals can generally be reversed and or treated and not all makeup products are bad for you,positive,cosmetic
how to purchase your kurtis from canada all your dresses have access only from india 😢,negative,other
flawless 🙌🤩✨,spam,other
